WARMIŃSKO-MAZURSKIE,ogółem,2009,94
WARMIŃSKO-MAZURSKIE,ogółem,2010,98
WARMIŃSKO-MAZURSKIE,ogółem,2011,100
WARMIŃSKO-MAZURSKIE,ogółem,2012,112
WARMIŃSKO-MAZURSKIE,ogółem,2013,122
WARMIŃSKO-MAZURSKIE,ogółem,2014,123
WARMIŃSKO-MAZURSKIE,ogółem,2015,122
WARMIŃSKO-MAZURSKIE,ogółem,2016,118
WARMIŃSKO-MAZURSKIE,ogółem,2017,114
WARMIŃSKO-MAZURSKIE,ogółem,2018,101
WARMIŃSKO-MAZURSKIE,ogółem,2019,103
WARMIŃSKO-MAZURSKIE,ogółem,2020,104
WARMIŃSKO-MAZURSKIE,ogółem,2021,101
WIELKOPOLSKIE,ogółem,2009,126
WIELKOPOLSKIE,ogółem,2010,123
WIELKOPOLSKIE,ogółem,2011,129
WIELKOPOLSKIE,ogółem,2012,138
WIELKOPOLSKIE,ogółem,2013,142
WIELKOPOLSKIE,ogółem,2014,148
WIELKOPOLSKIE,ogółem,2015,145
WIELKOPOLSKIE,ogółem,2016,155
WIELKOPOLSKIE,ogółem,2017,156
WIELKOPOLSKIE,ogółem,2018,133
WIELKOPOLSKIE,ogółem,2019,132
WIELKOPOLSKIE,ogółem,2020,136
WIELKOPOLSKIE,ogółem,2021,136
ZACHODNIOPOMORSKIE,ogółem,2009,142
ZACHODNIOPOMORSKIE,ogółem,2010,142
ZACHODNIOPOMORSKIE,ogółem,2011,148
ZACHODNIOPOMORSKIE,ogółem,2012,158
ZACHODNIOPOMORSKIE,ogółem,2013,171
ZACHODNIOPOMORSKIE,ogółem,2014,165
ZACHODNIOPOMORSKIE,ogółem,2015,161
ZACHODNIOPOMORSKIE,ogółem,2016,167
ZACHODNIOPOMORSKIE,ogółem,2017,170
ZACHODNIOPOMORSKIE,ogółem,2018,150
ZACHODNIOPOMORSKIE,ogółem,2019,146
ZACHODNIOPOMORSKIE,ogółem,2020,148
ZACHODNIOPOMORSKIE,ogółem,2021,146
